id,Name,Type,Type1,Type2,HP,Atk,Def,SpAk,SpDf,Spd,Total,Generation,Legendary
298,Azurill,Normal Fairy,Normal,Fairy,50,20,40,20,40,20,190,3,FALSE
299,Nosepass,Rock,Rock,#N/A,30,45,135,45,90,30,375,3,FALSE
300,Skitty,Normal,Normal,#N/A,50,45,45,35,35,50,260,3,FALSE
301,Delcatty,Normal,Normal,#N/A,70,65,65,55,55,70,380,3,FALSE
302,Sableye,Dark Ghost,Dark,Ghost,50,75,75,65,65,50,380,3,FALSE
302,Mega Sableye,Dark Ghost,Dark,Ghost,50,85,125,85,115,20,480,3,FALSE
303,Mawile,Steel Fairy,Steel,Fairy,50,85,85,55,55,50,380,3,FALSE
303,Mega Mawile,Steel Fairy,Steel,Fairy,50,105,125,55,95,50,480,3,FALSE
304,Aron,Steel Rock,Steel,Rock,50,70,100,40,40,30,330,3,FALSE
305,Lairon,Steel Rock,Steel,Rock,60,90,140,50,50,40,430,3,FALSE
306,Aggron,Steel Rock,Steel,Rock,70,110,180,60,60,50,530,3,FALSE
306,Mega Aggron,Steel,Steel,#N/A,70,140,230,60,80,50,630,3,FALSE
307,Meditite,Fighting Psychic,Fighting,Psychic,30,40,55,40,55,60,280,3,FALSE
308,Medicham,Fighting Psychic,Fighting,Psychic,60,60,75,60,75,80,410,3,FALSE
308,Mega Medicham,Fighting Psychic,Fighting,Psychic,60,100,85,80,85,100,510,3,FALSE
309,Electrike,Electric,Electric,#N/A,40,45,40,65,40,65,295,3,FALSE
310,Manectric,Electric,Electric,#N/A,70,75,60,105,60,105,475,3,FALSE
310,Mega Manectric,Electric,Electric,#N/A,70,75,80,135,80,135,575,3,FALSE
311,Plusle,Electric,Electric,#N/A,60,50,40,85,75,95,405,3,FALSE
312,Minun,Electric,Electric,#N/A,60,40,50,75,85,95,405,3,FALSE
313,Volbeat,Bug,Bug,#N/A,65,73,55,47,75,85,400,3,FALSE
314,Illumise,Bug,Bug,#N/A,65,47,55,73,75,85,400,3,FALSE
315,Roselia,Grass Poison,Grass,Poison,50,60,45,100,80,65,400,3,FALSE
316,Gulpin,Poison,Poison,#N/A,70,43,53,43,53,40,302,3,FALSE
317,Swalot,Poison,Poison,#N/A,100,73,83,73,83,55,467,3,FALSE
318,Carvanha,Water Dark,Water,Dark,45,90,20,65,20,65,305,3,FALSE
319,Sharpedo,Water Dark,Water,Dark,70,120,40,95,40,95,460,3,FALSE
319,Mega Sharpedo,Water Dark,Water,Dark,70,140,70,110,65,105,560,3,FALSE
320,Wailmer,Water,Water,#N/A,130,70,35,70,35,60,400,3,FALSE
321,Wailord,Water,Water,#N/A,170,90,45,90,45,60,500,3,FALSE
322,Numel,Fire Ground,Fire,Ground,60,60,40,65,45,35,305,3,FALSE
323,Camerupt,Fire Ground,Fire,Ground,70,100,70,105,75,40,460,3,FALSE
323,Mega Camerupt,Fire Ground,Fire,Ground,70,120,100,145,105,20,560,3,FALSE
324,Torkoal,Fire,Fire,#N/A,70,85,140,85,70,20,470,3,FALSE
325,Spoink,Psychic,Psychic,#N/A,60,25,35,70,80,60,330,3,FALSE
326,Grumpig,Psychic,Psychic,#N/A,80,45,65,90,110,80,470,3,FALSE
327,Spinda,Normal,Normal,#N/A,60,60,60,60,60,60,360,3,FALSE
328,Trapinch,Ground,Ground,#N/A,45,100,45,45,45,10,290,3,FALSE
329,Vibrava,Ground Dragon,Ground,Dragon,50,70,50,50,50,70,340,3,FALSE
330,Flygon,Ground Dragon,Ground,Dragon,80,100,80,80,80,100,520,3,FALSE
331,Cacnea,Grass,Grass,#N/A,50,85,40,85,40,35,335,3,FALSE
332,Cacturne,Grass Dark,Grass,Dark,70,115,60,115,60,55,475,3,FALSE
333,Swablu,Normal Flying,Normal,Flying,45,40,60,40,75,50,310,3,FALSE
334,Altaria,Dragon Flying,Dragon,Flying,75,70,90,70,105,80,490,3,FALSE
334,Mega Altaria,Dragon Fairy,Dragon,Fairy,75,110,110,110,105,80,590,3,FALSE
335,Zangoose,Normal,Normal,#N/A,73,115,60,60,60,90,458,3,FALSE
336,Seviper,Poison,Poison,#N/A,73,100,60,100,60,65,458,3,FALSE
337,Lunatone,Rock Psychic,Rock,Psychic,70,55,65,95,85,70,440,3,FALSE
338,Solrock,Rock Psychic,Rock,Psychic,70,95,85,55,65,70,440,3,FALSE
339,Barboach,Water Ground,Water,Ground,50,48,43,46,41,60,288,3,FALSE
340,Whiscash,Water Ground,Water,Ground,110,78,73,76,71,60,468,3,FALSE
341,Corphish,Water,Water,#N/A,43,80,65,50,35,35,308,3,FALSE
342,Crawdaunt,Water Dark,Water,Dark,63,120,85,90,55,55,468,3,FALSE
343,Baltoy,Ground Psychic,Ground,Psychic,40,40,55,40,70,55,300,3,FALSE
344,Claydol,Ground Psychic,Ground,Psychic,60,70,105,70,120,75,500,3,FALSE
345,Lileep,Rock Grass,Rock,Grass,66,41,77,61,87,23,355,3,FALSE
346,Cradily,Rock Grass,Rock,Grass,86,81,97,81,107,43,495,3,FALSE
347,Anorith,Rock Bug,Rock,Bug,45,95,50,40,50,75,355,3,FALSE
348,Armaldo,Rock Bug,Rock,Bug,75,125,100,70,80,45,495,3,FALSE
349,Feebas,Water,Water,#N/A,20,15,20,10,55,80,200,3,FALSE
350,Milotic,Water,Water,#N/A,95,60,79,100,125,81,540,3,FALSE
351,Castform,Normal,Normal,#N/A,70,70,70,70,70,70,420,3,FALSE
352,Kecleon,Normal,Normal,#N/A,60,90,70,60,120,40,440,3,FALSE
353,Shuppet,Ghost,Ghost,#N/A,44,75,35,63,33,45,295,3,FALSE
354,Banette,Ghost,Ghost,#N/A,64,115,65,83,63,65,455,3,FALSE
354,Mega Banette,Ghost,Ghost,#N/A,64,165,75,93,83,75,555,3,FALSE
355,Duskull,Ghost,Ghost,#N/A,20,40,90,30,90,25,295,3,FALSE
356,Dusclops,Ghost,Ghost,#N/A,40,70,130,60,130,25,455,3,FALSE
357,Tropius,Grass Flying,Grass,Flying,99,68,83,72,87,51,460,3,FALSE
358,Chimecho,Psychic,Psychic,#N/A,65,50,70,95,80,65,425,3,FALSE
359,Absol,Dark,Dark,#N/A,65,130,60,75,60,75,465,3,FALSE
359,Mega Absol,Dark,Dark,#N/A,65,150,60,115,60,115,565,3,FALSE
360,Wynaut,Psychic,Psychic,#N/A,95,23,48,23,48,23,260,3,FALSE
361,Snorunt,Ice,Ice,#N/A,50,50,50,50,50,50,300,3,FALSE
362,Glalie,Ice,Ice,#N/A,80,80,80,80,80,80,480,3,FALSE
362,Mega Glalie,Ice,Ice,#N/A,80,120,80,120,80,100,580,3,FALSE
363,Spheal,Ice Water,Ice,Water,70,40,50,55,50,25,290,3,FALSE
364,Sealeo,Ice Water,Ice,Water,90,60,70,75,70,45,410,3,FALSE
365,Walrein,Ice Water,Ice,Water,110,80,90,95,90,65,530,3,FALSE
366,Clamperl,Water,Water,#N/A,35,64,85,74,55,32,345,3,FALSE
367,Huntail,Water,Water,#N/A,55,104,105,94,75,52,485,3,FALSE
368,Gorebyss,Water,Water,#N/A,55,84,105,114,75,52,485,3,FALSE
369,Relicanth,Water Rock,Water,Rock,100,90,130,45,65,55,485,3,FALSE
370,Luvdisc,Water,Water,#N/A,43,30,55,40,65,97,330,3,FALSE
371,Bagon,Dragon,Dragon,#N/A,45,75,60,40,30,50,300,3,FALSE
372,Shelgon,Dragon,Dragon,#N/A,65,95,100,60,50,50,420,3,FALSE
373,Salamence,Dragon Flying,Dragon,Flying,95,135,80,110,80,100,600,3,FALSE
373,Mega Salamence,Dragon Flying,Dragon,Flying,95,145,130,120,90,120,700,3,FALSE
374,Beldum,Steel Psychic,Steel,Psychic,40,55,80,35,60,30,300,3,FALSE
375,Metang,Steel Psychic,Steel,Psychic,60,75,100,55,80,50,420,3,FALSE
376,Metagross,Steel Psychic,Steel,Psychic,80,135,130,95,90,70,600,3,FALSE
376,Mega Metagross,Steel Psychic,Steel,Psychic,80,145,150,105,110,110,700,3,FALSE
377,Regirock,Rock,Rock,#N/A,80,100,200,50,100,50,580,3,TRUE
378,Regice,Ice,Ice,#N/A,80,50,100,100,200,50,580,3,TRUE
379,Registeel,Steel,Steel,#N/A,80,75,150,75,150,50,580,3,TRUE
380,Latias,Dragon Psychic,Dragon,Psychic,80,80,90,110,130,110,600,3,TRUE
380,Mega Latias,Dragon Psychic,Dragon,Psychic,80,100,120,140,150,110,700,3,TRUE
381,Latios,Dragon Psychic,Dragon,Psychic,80,90,80,130,110,110,600,3,TRUE
381,Mega Latios,Dragon Psychic,Dragon,Psychic,80,130,100,160,120,110,700,3,TRUE
382,Kyogre,Water,Water,#N/A,100,100,90,150,140,90,670,3,TRUE
382,Primal Kyogre,Water,Water,#N/A,100,150,90,180,160,90,770,3,TRUE
383,Groudon,Ground,Ground,#N/A,100,150,140,100,90,90,670,3,TRUE
383,Primal Groudon,Ground Fire,Ground,Fire,100,180,160,150,90,90,770,3,TRUE
384,Rayquaza,Dragon Flying,Dragon,Flying,105,150,90,150,90,95,680,3,TRUE
384,Mega Rayquaza,Dragon Flying,Dragon,Flying,105,180,100,180,100,115,780,3,TRUE
385,Jirachi,Steel Psychic,Steel,Psychic,100,100,100,100,100,100,600,3,TRUE
386,Deoxys Normal Forme,Psychic,Psychic,#N/A,50,150,50,150,50,150,600,3,TRUE
386,Deoxys Attack Forme,Psychic,Psychic,#N/A,50,180,20,180,20,150,600,3,TRUE
386,Deoxys Defense Forme,Psychic,Psychic,#N/A,50,70,160,70,160,90,600,3,TRUE
386,Deoxys Speed Forme,Psychic,Psychic,#N/A,50,95,90,95,90,180,600,3,TRUE
387,Turtwig,Grass,Grass,#N/A,55,68,64,45,55,31,318,4,FALSE
388,Grotle,Grass,Grass,#N/A,75,89,85,55,65,36,405,4,FALSE
389,Torterra,Grass Ground,Grass,Ground,95,109,105,75,85,56,525,4,FALSE
390,Chimchar,Fire,Fire,#N/A,44,58,44,58,44,61,309,4,FALSE
391,Monferno,Fire Fighting,Fire,Fighting,64,78,52,78,52,81,405,4,FALSE
392,Infernape,Fire Fighting,Fire,Fighting,76,104,71,104,71,108,534,4,FALSE
393,Piplup,Water,Water,#N/A,53,51,53,61,56,40,314,4,FALSE
394,Prinplup,Water,Water,#N/A,64,66,68,81,76,50,405,4,FALSE
395,Empoleon,Water Steel,Water,Steel,84,86,88,111,101,60,530,4,FALSE
396,Starly,Normal Flying,Normal,Flying,40,55,30,30,30,60,245,4,FALSE
397,Staravia,Normal Flying,Normal,Flying,55,75,50,40,40,80,340,4,FALSE
398,Staraptor,Normal Flying,Normal,Flying,85,120,70,50,60,100,485,4,FALSE
399,Bidoof,Normal,Normal,#N/A,59,45,40,35,40,31,250,4,FALSE
400,Bibarel,Normal Water,Normal,Water,79,85,60,55,60,71,410,4,FALSE
401,Kricketot,Bug,Bug,#N/A,37,25,41,25,41,25,194,4,FALSE
402,Kricketune,Bug,Bug,#N/A,77,85,51,55,51,65,384,4,FALSE
403,Shinx,Electric,Electric,#N/A,45,65,34,40,34,45,263,4,FALSE
404,Luxio,Electric,Electric,#N/A,60,85,49,60,49,60,363,4,FALSE
405,Luxray,Electric,Electric,#N/A,80,120,79,95,79,70,523,4,FALSE
406,Budew,Grass Poison,Grass,Poison,40,30,35,50,70,55,280,4,FALSE
407,Roserade,Grass Poison,Grass,Poison,60,70,65,125,105,90,515,4,FALSE
408,Cranidos,Rock,Rock,#N/A,67,125,40,30,30,58,350,4,FALSE
409,Rampardos,Rock,Rock,#N/A,97,165,60,65,50,58,495,4,FALSE
410,Shieldon,Rock Steel,Rock,Steel,30,42,118,42,88,30,350,4,FALSE
411,Bastiodon,Rock Steel,Rock,Steel,60,52,168,47,138,30,495,4,FALSE
412,Burmy,Bug,Bug,#N/A,40,29,45,29,45,36,224,4,FALSE
413,WormadamPlant Cloak,Bug Grass,Bug,Grass,60,59,85,79,105,36,424,4,FALSE
413,WormadamSandy Cloak,Bug Ground,Bug,Ground,60,79,105,59,85,36,424,4,FALSE
413,WormadamTrash Cloak,Bug Steel,Bug,Steel,60,69,95,69,95,36,424,4,FALSE
414,Mothim,Bug Flying,Bug,Flying,70,94,50,94,50,66,424,4,FALSE
415,Combee,Bug Flying,Bug,Flying,30,30,42,30,42,70,244,4,FALSE
416,Vespiquen,Bug Flying,Bug,Flying,70,80,102,80,102,40,474,4,FALSE
417,Pachirisu,Electric,Electric,#N/A,60,45,70,45,90,95,405,4,FALSE
418,Buizel,Water,Water,#N/A,55,65,35,60,30,85,330,4,FALSE
419,Floatzel,Water,Water,#N/A,85,105,55,85,50,115,495,4,FALSE
420,Cherubi,Grass,Grass,#N/A,45,35,45,62,53,35,275,4,FALSE
421,Cherrim,Grass,Grass,#N/A,70,60,70,87,78,85,450,4,FALSE
422,Shellos,Water,Water,#N/A,76,48,48,57,62,34,325,4,FALSE
423,Gastrodon,Water Ground,Water,Ground,111,83,68,92,82,39,475,4,FALSE
424,Ambipom,Normal,Normal,#N/A,75,100,66,60,66,115,482,4,FALSE
425,Drifloon,Ghost Flying,Ghost,Flying,90,50,34,60,44,70,348,4,FALSE
426,Drifblim,Ghost Flying,Ghost,Flying,150,80,44,90,54,80,498,4,FALSE
427,Buneary,Normal,Normal,#N/A,55,66,44,44,56,85,350,4,FALSE
428,Lopunny,Normal,Normal,#N/A,65,76,84,54,96,105,480,4,FALSE
428,Mega Lopunny,Normal Fighting,Normal,Fighting,65,136,94,54,96,135,580,4,FALSE
429,Mismagius,Ghost,Ghost,#N/A,60,60,60,105,105,105,495,4,FALSE
430,Honchkrow,Dark Flying,Dark,Flying,100,125,52,105,52,71,505,4,FALSE
431,Glameow,Normal,Normal,#N/A,49,55,42,42,37,85,310,4,FALSE
432,Purugly,Normal,Normal,#N/A,71,82,64,64,59,112,452,4,FALSE
433,Chingling,Psychic,Psychic,#N/A,45,30,50,65,50,45,285,4,FALSE
434,Stunky,Poison Dark,Poison,Dark,63,63,47,41,41,74,329,4,FALSE
435,Skuntank,Poison Dark,Poison,Dark,103,93,67,71,61,84,479,4,FALSE
436,Bronzor,Steel Psychic,Steel,Psychic,57,24,86,24,86,23,300,4,FALSE
437,Bronzong,Steel Psychic,Steel,Psychic,67,89,116,79,116,33,500,4,FALSE
438,Bonsly,Rock,Rock,#N/A,50,80,95,10,45,10,290,4,FALSE
439,Mime Jr.,Psychic Fairy,Psychic,Fairy,20,25,45,70,90,60,310,4,FALSE
440,Happiny,Normal,Normal,#N/A,100,5,5,15,65,30,220,4,FALSE
441,Chatot,Normal Flying,Normal,Flying,76,65,45,92,42,91,411,4,FALSE
442,Spiritomb,Ghost Dark,Ghost,Dark,50,92,108,92,108,35,485,4,FALSE
443,Gible,Dragon Ground,Dragon,Ground,58,70,45,40,45,42,300,4,FALSE
444,Gabite,Dragon Ground,Dragon,Ground,68,90,65,50,55,82,410,4,FALSE
445,Garchomp,Dragon Ground,Dragon,Ground,108,130,95,80,85,102,600,4,FALSE
445,Mega Garchomp,Dragon Ground,Dragon,Ground,108,170,115,120,95,92,700,4,FALSE
446,Munchlax,Normal,Normal,#N/A,135,85,40,40,85,5,390,4,FALSE
447,Riolu,Fighting,Fighting,#N/A,40,70,40,35,40,60,285,4,FALSE
448,Lucario,Fighting Steel,Fighting,Steel,70,110,70,115,70,90,525,4,FALSE
448,Mega Lucario,Fighting Steel,Fighting,Steel,70,145,88,140,70,112,625,4,FALSE
449,Hippopotas,Ground,Ground,#N/A,68,72,78,38,42,32,330,4,FALSE
450,Hippowdon,Ground,Ground,#N/A,108,112,118,68,72,47,525,4,FALSE
451,Skorupi,Poison Bug,Poison,Bug,40,50,90,30,55,65,330,4,FALSE
452,Drapion,Poison Dark,Poison,Dark,70,90,110,60,75,95,500,4,FALSE
453,Croagunk,Poison Fighting,Poison,Fighting,48,61,40,61,40,50,300,4,FALSE
454,Toxicroak,Poison Fighting,Poison,Fighting,83,106,65,86,65,85,490,4,FALSE
455,Carnivine,Grass,Grass,#N/A,74,100,72,90,72,46,454,4,FALSE
456,Finneon,Water,Water,#N/A,49,49,56,49,61,66,330,4,FALSE
457,Lumineon,Water,Water,#N/A,69,69,76,69,86,91,460,4,FALSE
458,Mantyke,Water Flying,Water,Flying,45,20,50,60,120,50,345,4,FALSE
459,Snover,Grass Ice,Grass,Ice,60,62,50,62,60,40,334,4,FALSE
460,Abomasnow,Grass Ice,Grass,Ice,90,92,75,92,85,60,494,4,FALSE
460,Mega Abomasnow,Grass Ice,Grass,Ice,90,132,105,132,105,30,594,4,FALSE
461,Weavile,Dark Ice,Dark,Ice,70,120,65,45,85,125,510,4,FALSE
462,Magnezone,Electric Steel,Electric,Steel,70,70,115,130,90,60,535,4,FALSE
463,Lickilicky,Normal,Normal,#N/A,110,85,95,80,95,50,515,4,FALSE
464,Rhyperior,Ground Rock,Ground,Rock,115,140,130,55,55,40,535,4,FALSE
465,Tangrowth,Grass,Grass,#N/A,100,100,125,110,50,50,535,4,FALSE
466,Electivire,Electric,Electric,#N/A,75,123,67,95,85,95,540,4,FALSE
467,Magmortar,Fire,Fire,#N/A,75,95,67,125,95,83,540,4,FALSE
468,Togekiss,Fairy Flying,Fairy,Flying,85,50,95,120,115,80,545,4,FALSE
469,Yanmega,Bug Flying,Bug,Flying,86,76,86,116,56,95,515,4,FALSE
470,Leafeon,Grass,Grass,#N/A,65,110,130,60,65,95,525,4,FALSE
471,Glaceon,Ice,Ice,#N/A,65,60,110,130,95,65,525,4,FALSE
472,Gliscor,Ground Flying,Ground,Flying,75,95,125,45,75,95,510,4,FALSE
473,Mamoswine,Ice Ground,Ice,Ground,110,130,80,70,60,80,530,4,FALSE
474,Porygon-Z,Normal,Normal,#N/A,85,80,70,135,75,90,535,4,FALSE
475,Gallade,Psychic Fighting,Psychic,Fighting,68,125,65,65,115,80,518,4,FALSE
475,Mega Gallade,Psychic Fighting,Psychic,Fighting,68,165,95,65,115,110,618,4,FALSE
476,Probopass,Rock Steel,Rock,Steel,60,55,145,75,150,40,525,4,FALSE
477,Dusknoir,Ghost,Ghost,#N/A,45,100,135,65,135,45,525,4,FALSE
478,Froslass,Ice Ghost,Ice,Ghost,70,80,70,80,70,110,480,4,FALSE
479,Rotom,Electric Ghost,Electric,Ghost,50,50,77,95,77,91,440,4,FALSE
479,Rotom Heat,Electric Fire,Electric,Fire,50,65,107,105,107,86,520,4,FALSE
479,Rotom Wash,Electric Water,Electric,Water,50,65,107,105,107,86,520,4,FALSE
479,Rotom Frost,Electric Ice,Electric,Ice,50,65,107,105,107,86,520,4,FALSE
479,Rotom Fan,Electric Flying,Electric,Flying,50,65,107,105,107,86,520,4,FALSE
479,Rotom Mow,Electric Grass,Electric,Grass,50,65,107,105,107,86,520,4,FALSE
480,Uxie,Psychic,Psychic,#N/A,75,75,130,75,130,95,580,4,TRUE
481,Mesprit,Psychic,Psychic,#N/A,80,105,105,105,105,80,580,4,TRUE
482,Azelf,Psychic,Psychic,#N/A,75,125,70,125,70,115,580,4,TRUE
483,Dialga,Steel Dragon,Steel,Dragon,100,120,120,150,100,90,680,4,TRUE
484,Palkia,Water Dragon,Water,Dragon,90,120,100,150,120,100,680,4,TRUE
485,Heatran,Fire Steel,Fire,Steel,91,90,106,130,106,77,600,4,TRUE
486,Regigigas,Normal,Normal,#N/A,110,160,110,80,110,100,670,4,TRUE
487,Giratina Altered Forme,Ghost Dragon,Ghost,Dragon,150,100,120,100,120,90,680,4,TRUE
487,Giratina Origin Forme,Ghost Dragon,Ghost,Dragon,150,120,100,120,100,90,680,4,TRUE
488,Cresselia,Psychic,Psychic,#N/A,120,70,120,75,130,85,600,4,FALSE
489,Phione,Water,Water,#N/A,80,80,80,80,80,80,480,4,FALSE
490,Manaphy,Water,Water,#N/A,100,100,100,100,100,100,600,4,FALSE
491,Darkrai,Dark,Dark,#N/A,70,90,90,135,90,125,600,4,TRUE
492,Shaymin Land Forme,Grass,Grass,#N/A,100,100,100,100,100,100,600,4,TRUE
492,Shaymin Sky Forme,Grass Flying,Grass,Flying,100,103,75,120,75,127,600,4,TRUE
493,Arceus,Normal,Normal,#N/A,120,120,120,120,120,120,720,4,TRUE
494,Victini,Psychic Fire,Psychic,Fire,100,100,100,100,100,100,600,5,TRUE
495,Snivy,Grass,Grass,#N/A,45,45,55,45,55,63,308,5,FALSE
496,Servine,Grass,Grass,#N/A,60,60,75,60,75,83,413,5,FALSE
497,Serperior,Grass,Grass,#N/A,75,75,95,75,95,113,528,5,FALSE
498,Tepig,Fire,Fire,#N/A,65,63,45,45,45,45,308,5,FALSE
499,Pignite,Fire Fighting,Fire,Fighting,90,93,55,70,55,55,418,5,FALSE
500,Emboar,Fire Fighting,Fire,Fighting,110,123,65,100,65,65,528,5,FALSE
501,Oshawott,Water,Water,#N/A,55,55,45,63,45,45,308,5,FALSE
502,Dewott,Water,Water,#N/A,75,75,60,83,60,60,413,5,FALSE
503,Samurott,Water,Water,#N/A,95,100,85,108,70,70,528,5,FALSE
504,Patrat,Normal,Normal,#N/A,45,55,39,35,39,42,255,5,FALSE
505,Watchog,Normal,Normal,#N/A,60,85,69,60,69,77,420,5,FALSE
506,Lillipup,Normal,Normal,#N/A,45,60,45,25,45,55,275,5,FALSE
507,Herdier,Normal,Normal,#N/A,65,80,65,35,65,60,370,5,FALSE
508,Stoutland,Normal,Normal,#N/A,85,110,90,45,90,80,500,5,FALSE
509,Purrloin,Dark,Dark,#N/A,41,50,37,50,37,66,281,5,FALSE
510,Liepard,Dark,Dark,#N/A,64,88,50,88,50,106,446,5,FALSE
511,Pansage,Grass,Grass,#N/A,50,53,48,53,48,64,316,5,FALSE
512,Simisage,Grass,Grass,#N/A,75,98,63,98,63,101,498,5,FALSE
513,Pansear,Fire,Fire,#N/A,50,53,48,53,48,64,316,5,FALSE
514,Simisear,Fire,Fire,#N/A,75,98,63,98,63,101,498,5,FALSE
515,Panpour,Water,Water,#N/A,50,53,48,53,48,64,316,5,FALSE
516,Simipour,Water,Water,#N/A,75,98,63,98,63,101,498,5,FALSE
517,Munna,Psychic,Psychic,#N/A,76,25,45,67,55,24,292,5,FALSE
518,Musharna,Psychic,Psychic,#N/A,116,55,85,107,95,29,487,5,FALSE
519,Pidove,Normal Flying,Normal,Flying,50,55,50,36,30,43,264,5,FALSE
520,Tranquill,Normal Flying,Normal,Flying,62,77,62,50,42,65,358,5,FALSE
521,Unfezant,Normal Flying,Normal,Flying,80,115,80,65,55,93,488,5,FALSE
522,Blitzle,Electric,Electric,#N/A,45,60,32,50,32,76,295,5,FALSE
523,Zebstrika,Electric,Electric,#N/A,75,100,63,80,63,116,497,5,FALSE
524,Roggenrola,Rock,Rock,#N/A,55,75,85,25,25,15,280,5,FALSE
525,Boldore,Rock,Rock,#N/A,70,105,105,50,40,20,390,5,FALSE
526,Gigalith,Rock,Rock,#N/A,85,135,130,60,80,25,515,5,FALSE
527,Woobat,Psychic Flying,Psychic,Flying,55,45,43,55,43,72,313,5,FALSE
528,Swoobat,Psychic Flying,Psychic,Flying,67,57,55,77,55,114,425,5,FALSE
529,Drilbur,Ground,Ground,#N/A,60,85,40,30,45,68,328,5,FALSE
530,Excadrill,Ground Steel,Ground,Steel,110,135,60,50,65,88,508,5,FALSE
531,Audino,Normal,Normal,#N/A,103,60,86,60,86,50,445,5,FALSE
531,Mega Audino,Normal Fairy,Normal,Fairy,103,60,126,80,126,50,545,5,FALSE
532,Timburr,Fighting,Fighting,#N/A,75,80,55,25,35,35,305,5,FALSE
533,Gurdurr,Fighting,Fighting,#N/A,85,105,85,40,50,40,405,5,FALSE
534,Conkeldurr,Fighting,Fighting,#N/A,105,140,95,55,65,45,505,5,FALSE
535,Tympole,Water,Water,#N/A,50,50,40,50,40,64,294,5,FALSE
536,Palpitoad,Water Ground,Water,Ground,75,65,55,65,55,69,384,5,FALSE
537,Seismitoad,Water Ground,Water,Ground,105,95,75,85,75,74,509,5,FALSE
538,Throh,Fighting,Fighting,#N/A,120,100,85,30,85,45,465,5,FALSE
539,Sawk,Fighting,Fighting,#N/A,75,125,75,30,75,85,465,5,FALSE
540,Sewaddle,Bug Grass,Bug,Grass,45,53,70,40,60,42,310,5,FALSE
541,Swadloon,Bug Grass,Bug,Grass,55,63,90,50,80,42,380,5,FALSE
542,Leavanny,Bug Grass,Bug,Grass,75,103,80,70,80,92,500,5,FALSE
543,Venipede,Bug Poison,Bug,Poison,30,45,59,30,39,57,260,5,FALSE
544,Whirlipede,Bug Poison,Bug,Poison,40,55,99,40,79,47,360,5,FALSE
545,Scolipede,Bug Poison,Bug,Poison,60,100,89,55,69,112,485,5,FALSE
546,Cottonee,Grass Fairy,Grass,Fairy,40,27,60,37,50,66,280,5,FALSE
547,Whimsicott,Grass Fairy,Grass,Fairy,60,67,85,77,75,116,480,5,FALSE
548,Petilil,Grass,Grass,#N/A,45,35,50,70,50,30,280,5,FALSE
549,Lilligant,Grass,Grass,#N/A,70,60,75,110,75,90,480,5,FALSE
550,Basculin,Water,Water,#N/A,70,92,65,80,55,98,460,5,FALSE
551,Sandile,Ground Dark,Ground,Dark,50,72,35,35,35,65,292,5,FALSE
552,Krokorok,Ground Dark,Ground,Dark,60,82,45,45,45,74,351,5,FALSE
553,Krookodile,Ground Dark,Ground,Dark,95,117,80,65,70,92,519,5,FALSE
554,Darumaka,Fire,Fire,#N/A,70,90,45,15,45,50,315,5,FALSE
555,Darmanitan Standard Mode,Fire,Fire,#N/A,105,140,55,30,55,95,480,5,FALSE
555,Darmanitan Zen Mode,Fire Psychic,Fire,Psychic,105,30,105,140,105,55,540,5,FALSE
556,Maractus,Grass,Grass,#N/A,75,86,67,106,67,60,461,5,FALSE
557,Dwebble,Bug Rock,Bug,Rock,50,65,85,35,35,55,325,5,FALSE
558,Crustle,Bug Rock,Bug,Rock,70,95,125,65,75,45,475,5,FALSE
559,Scraggy,Dark Fighting,Dark,Fighting,50,75,70,35,70,48,348,5,FALSE
560,Scrafty,Dark Fighting,Dark,Fighting,65,90,115,45,115,58,488,5,FALSE
561,Sigilyph,Psychic Flying,Psychic,Flying,72,58,80,103,80,97,490,5,FALSE
562,Yamask,Ghost,Ghost,#N/A,38,30,85,55,65,30,303,5,FALSE
563,Cofagrigus,Ghost,Ghost,#N/A,58,50,145,95,105,30,483,5,FALSE
564,Tirtouga,Water Rock,Water,Rock,54,78,103,53,45,22,355,5,FALSE
565,Carracosta,Water Rock,Water,Rock,74,108,133,83,65,32,495,5,FALSE
566,Archen,Rock Flying,Rock,Flying,55,112,45,74,45,70,401,5,FALSE
567,Archeops,Rock Flying,Rock,Flying,75,140,65,112,65,110,567,5,FALSE
568,Trubbish,Poison,Poison,#N/A,50,50,62,40,62,65,329,5,FALSE
569,Garbodor,Poison,Poison,#N/A,80,95,82,60,82,75,474,5,FALSE
570,Zorua,Dark,Dark,#N/A,40,65,40,80,40,65,330,5,FALSE
571,Zoroark,Dark,Dark,#N/A,60,105,60,120,60,105,510,5,FALSE
572,Minccino,Normal,Normal,#N/A,55,50,40,40,40,75,300,5,FALSE
573,Cinccino,Normal,Normal,#N/A,75,95,60,65,60,115,470,5,FALSE
574,Gothita,Psychic,Psychic,#N/A,45,30,50,55,65,45,290,5,FALSE
575,Gothorita,Psychic,Psychic,#N/A,60,45,70,75,85,55,390,5,FALSE
576,Gothitelle,Psychic,Psychic,#N/A,70,55,95,95,110,65,490,5,FALSE
577,Solosis,Psychic,Psychic,#N/A,45,30,40,105,50,20,290,5,FALSE
578,Duosion,Psychic,Psychic,#N/A,65,40,50,125,60,30,370,5,FALSE
579,Reuniclus,Psychic,Psychic,#N/A,110,65,75,125,85,30,490,5,FALSE
580,Ducklett,Water Flying,Water,Flying,62,44,50,44,50,55,305,5,FALSE
